#yr	mi	price
2003	182.1	5999
2006	154	8999
2004	136.3	7771
2014	9.6	27994
2004	166.4	10999
2011	65.4	23977
2011	91.27	19999
2002	260	2100
2013	3.284	21950
2010	73.09	19888
2014	22.44	27999
2008	70	14995
2008	80	17995
2005	93	13995
2005	62.4	16995
2008	116.98	12988
2003	101	7999

